,region,state.name,county.name,state_county
1,70560,louisiana,iberia,"louisiana,iberia"
2,70510,louisiana,vermilion,"louisiana,vermilion"
3,70592,louisiana,lafayette,"louisiana,lafayette"
4,70548,louisiana,vermilion,"louisiana,vermilion"
5,70560,louisiana,vermilion,"louisiana,vermilion"
6,70578,louisiana,lafayette,"louisiana,lafayette"
7,70526,louisiana,acadia,"louisiana,acadia"
8,70592,louisiana,iberia,"louisiana,iberia"
9,70542,louisiana,cameron,"louisiana,cameron"
10,70542,louisiana,vermilion,"louisiana,vermilion"
11,70578,louisiana,vermilion,"louisiana,vermilion"
12,70592,louisiana,vermilion,"louisiana,vermilion"
13,70575,louisiana,vermilion,"louisiana,vermilion"
14,70578,louisiana,acadia,"louisiana,acadia"
15,70555,louisiana,lafayette,"louisiana,lafayette"
16,70555,louisiana,vermilion,"louisiana,vermilion"
17,70528,louisiana,iberia,"louisiana,iberia"
18,70533,louisiana,vermilion,"louisiana,vermilion"
19,70528,louisiana,vermilion,"louisiana,vermilion"
20,70533,louisiana,iberia,"louisiana,iberia"
21,70526,louisiana,vermilion,"louisiana,vermilion"
22,57481,south dakota,brown,"south dakota,brown"
23,57401,south dakota,brown,"south dakota,brown"
24,57441,south dakota,brown,"south dakota,brown"
25,57448,south dakota,edmunds,"south dakota,edmunds"
26,57456,south dakota,mcpherson,"south dakota,mcpherson"
27,57460,south dakota,edmunds,"south dakota,edmunds"
28,57451,south dakota,edmunds,"south dakota,edmunds"
29,57475,south dakota,edmunds,"south dakota,edmunds"
30,57474,south dakota,brown,"south dakota,brown"
31,57460,south dakota,spink,"south dakota,spink"
32,57448,south dakota,mcpherson,"south dakota,mcpherson"
33,57434,south dakota,brown,"south dakota,brown"
34,57451,south dakota,brown,"south dakota,brown"
35,57460,south dakota,faulk,"south dakota,faulk"
36,57456,south dakota,edmunds,"south dakota,edmunds"
37,57434,south dakota,spink,"south dakota,spink"
38,57446,south dakota,brown,"south dakota,brown"
39,57466,south dakota,faulk,"south dakota,faulk"
40,57445,south dakota,brown,"south dakota,brown"
41,57428,south dakota,edmunds,"south dakota,edmunds"
42,57449,south dakota,brown,"south dakota,brown"
43,57475,south dakota,potter,"south dakota,potter"
44,57439,south dakota,brown,"south dakota,brown"
45,57460,south dakota,brown,"south dakota,brown"
46,57432,south dakota,marshall,"south dakota,marshall"
47,57434,south dakota,day,"south dakota,day"
48,57479,south dakota,brown,"south dakota,brown"
49,57428,south dakota,walworth,"south dakota,walworth"
50,57433,south dakota,brown,"south dakota,brown"
51,57471,south dakota,edmunds,"south dakota,edmunds"
52,57435,south dakota,edmunds,"south dakota,edmunds"
53,57434,south dakota,clark,"south dakota,clark"
54,57481,south dakota,mcpherson,"south dakota,mcpherson"
55,57435,south dakota,faulk,"south dakota,faulk"
56,57426,south dakota,brown,"south dakota,brown"
57,57481,south dakota,edmunds,"south dakota,edmunds"
58,57427,south dakota,brown,"south dakota,brown"
59,57466,south dakota,edmunds,"south dakota,edmunds"
60,57432,south dakota,brown,"south dakota,brown"
61,98552,washington,grays harbor,"washington,grays harbor"
62,98587,washington,grays harbor,"washington,grays harbor"
63,98520,washington,grays harbor,"washington,grays harbor"
64,98595,washington,grays harbor,"washington,grays harbor"
65,98568,washington,grays harbor,"washington,grays harbor"
66,98535,washington,grays harbor,"washington,grays harbor"
67,98575,washington,grays harbor,"washington,grays harbor"
68,98568,washington,lewis,"washington,lewis"
69,98541,washington,grays harbor,"washington,grays harbor"
70,98550,washington,grays harbor,"washington,grays harbor"
71,98536,washington,grays harbor,"washington,grays harbor"
72,98547,washington,grays harbor,"washington,grays harbor"
73,98563,washington,grays harbor,"washington,grays harbor"
74,98583,washington,grays harbor,"washington,grays harbor"
75,98562,washington,grays harbor,"washington,grays harbor"
76,98537,washington,grays harbor,"washington,grays harbor"
77,98547,washington,pacific,"washington,pacific"
78,98571,washington,grays harbor,"washington,grays harbor"
79,98557,washington,mason,"washington,mason"
80,98559,washington,grays harbor,"washington,grays harbor"
81,98537,washington,pacific,"washington,pacific"
82,98569,washington,grays harbor,"washington,grays harbor"
83,98526,washington,grays harbor,"washington,grays harbor"
84,98557,washington,grays harbor,"washington,grays harbor"
85,98541,washington,mason,"washington,mason"
86,76437,texas,callahan,"texas,callahan"
87,79504,texas,callahan,"texas,callahan"
88,79566,texas,taylor,"texas,taylor"
89,79561,texas,fisher,"texas,fisher"
90,79560,texas,fisher,"texas,fisher"
91,76437,texas,stephens,"texas,stephens"
92,79601,texas,jones,"texas,jones"
93,79501,texas,jones,"texas,jones"
94,79566,texas,runnels,"texas,runnels"
95,79536,texas,jones,"texas,jones"
96,76443,texas,coleman,"texas,coleman"
97,79562,texas,taylor,"texas,taylor"
98,79560,texas,jones,"texas,jones"
99,79525,texas,jones,"texas,jones"
100,79605,texas,taylor,"texas,taylor"
101,79520,texas,fisher,"texas,fisher"
102,76443,texas,brown,"texas,brown"
103,79563,texas,taylor,"texas,taylor"
104,79561,texas,nolan,"texas,nolan"
105,79553,texas,haskell,"texas,haskell"
106,79520,texas,jones,"texas,jones"
107,76437,texas,eastland,"texas,eastland"
108,79601,texas,callahan,"texas,callahan"
109,76469,texas,callahan,"texas,callahan"
110,76464,texas,stephens,"texas,stephens"
